order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,1,6,2,31.16,0.0
2,1,128,3,38.02,0.0
3,2,112,2,153.0,0.2
4,2,41,1,226.27,0.2
5,2,125,3,90.59,0.0
6,2,16,2,50.49,0.0
7,3,87,3,6.32,0.05
8,3,80,3,111.95,0.0
9,4,95,2,67.16,0.0
10,4,145,2,549.54,0.0
11,5,81,2,21.04,0.0
12,5,122,3,107.37,0.1
13,6,69,1,12.9,0.1
14,6,18,2,71.75,0.05
15,6,116,2,89.74,0.1
16,6,100,1,35.04,0.0
17,7,38,3,274.98,0.15
18,7,70,1,223.26,0.1
19,7,82,3,110.53,0.0
20,7,125,3,90.59,0.05
21,7,81,2,21.04,0.05
22,8,8,3,75.61,0.05
23,9,117,3,71.39,0.05
24,9,71,2,44.86,0.0
25,9,51,1,173.82,0.0
26,10,123,3,11.37,0.0
27,10,95,2,67.16,0.05
28,10,37,2,56.32,0.0
29,10,81,3,21.04,0.1
30,10,97,1,798.21,0.05
31,11,17,1,25.7,0.0
32,11,18,3,71.75,0.0
33,11,36,2,19.2,0.2
34,11,39,2,40.89,0.0
35,12,102,1,27.83,0.0
36,12,40,1,26.23,0.1
37,12,141,2,65.92,0.0
38,12,23,1,85.49,0.05
39,13,60,1,30.79,0.0
40,13,40,2,26.23,0.0
41,14,18,1,71.75,0.0
42,14,11,1,38.65,0.0
43,14,52,1,34.96,0.0
44,14,10,2,8.85,0.0
45,14,54,1,525.86,0.0
46,15,69,3,12.9,0.0
47,15,143,1,165.53,0.1
48,15,96,2,141.9,0.0
49,16,8,1,75.61,0.0
50,16,115,1,76.97,0.0
51,16,132,1,21.74,0.05
52,16,104,1,51.42,0.0
53,17,65,1,32.68,0.0
54,17,56,1,69.09,0.1
55,17,131,1,26.99,0.0
56,17,7,3,80.91,0.0
57,17,80,2,111.95,0.0
58,18,123,1,11.37,0.05
59,18,144,1,22.21,0.1
60,18,74,3,42.69,0.0
61,18,64,1,103.98,0.15
62,19,14,2,43.46,0.0
63,20,72,2,85.5,0.05
64,21,37,1,56.32,0.0
65,21,68,3,263.91,0.05
66,21,117,3,71.39,0.1
67,22,4,1,19.32,0.05
68,22,29,2,431.7,0.1
69,23,123,3,11.37,0.0
70,23,17,1,25.7,0.0
71,23,40,2,26.23,0.0
72,23,56,1,69.09,0.0
73,23,102,1,27.83,0.05
74,24,61,1,25.43,0.2
75,24,115,1,76.97,0.15
76,25,60,1,30.79,0.0
77,25,13,2,184.93,0.1
78,25,74,3,42.69,0.0
79,25,94,3,183.38,0.15
80,26,89,3,23.01,0.0
81,26,105,2,49.1,0.2
82,26,45,2,154.13,0.0
83,27,86,3,121.67,0.0
84,27,92,3,117.83,0.1
85,28,88,1,48.19,0.1
86,28,139,2,33.84,0.0
87,28,41,2,226.27,0.15
88,28,147,3,192.43,0.0
89,28,36,3,19.2,0.0
90,29,59,2,297.33,0.0
91,29,86,3,121.67,0.1
92,30,101,3,27.56,0.1
93,30,57,1,115.52,0.0
94,30,148,3,48.64,0.0
95,30,90,3,33.65,0.15
96,30,105,1,49.1,0.05
97,31,18,2,71.75,0.0
98,32,77,2,776.65,0.0
99,33,90,3,33.65,0.0
100,33,8,2,75.61,0.1
101,33,66,1,80.36,0.0
102,34,25,2,33.5,0.05
103,34,117,1,71.39,0.05
104,35,114,2,514.45,0.05
105,35,18,2,71.75,0.1
106,35,129,3,49.25,0.05
107,35,47,1,22.93,0.0
108,35,119,1,82.35,0.05
109,36,124,1,93.35,0.0
110,36,125,3,90.59,0.1
111,37,78,1,40.48,0.0
112,38,7,1,80.91,0.05
113,38,113,3,94.7,0.0
114,38,128,3,38.02,0.0
115,38,94,2,183.38,0.0
116,38,111,2,58.22,0.0
117,39,92,3,117.83,0.15
118,39,122,1,107.37,0.0
119,39,103,1,148.48,0.0
120,40,35,2,31.9,0.0
121,40,101,1,27.56,0.0
122,40,3,3,59.6,0.0
123,41,63,1,28.11,0.05
124,41,123,2,11.37,0.0
125,41,55,1,9.44,0.0
126,42,18,3,71.75,0.2
127,42,123,1,11.37,0.0
128,43,58,1,176.42,0.1
129,43,68,1,263.91,0.15
130,43,105,2,49.1,0.0
131,44,116,3,89.74,0.15
132,44,58,3,176.42,0.15
133,44,33,3,158.56,0.15
134,44,123,3,11.37,0.0
135,45,95,2,67.16,0.0
136,46,17,3,25.7,0.0
137,46,65,2,32.68,0.15
138,46,69,2,12.9,0.15
139,46,70,3,223.26,0.0
140,46,74,2,42.69,0.0
141,47,87,2,6.32,0.0
142,47,47,2,22.93,0.15
143,47,128,2,38.02,0.0
144,47,96,1,141.9,0.0
145,47,63,1,28.11,0.0
146,48,117,3,71.39,0.0
147,48,141,1,65.92,0.0
148,48,150,2,155.03,0.05
149,48,71,2,44.86,0.0
150,49,111,1,58.22,0.05
151,49,62,3,57.48,0.1
152,49,60,3,30.79,0.0
153,50,99,3,118.9,0.05
154,50,53,1,94.73,0.0
155,51,114,1,514.45,0.0
156,51,39,2,40.89,0.0
157,51,99,3,118.9,0.0
158,51,98,3,26.09,0.0
159,52,53,1,94.73,0.1
160,52,96,1,141.9,0.0
161,52,37,2,56.32,0.0
162,52,20,1,87.41,0.05
163,52,97,1,798.21,0.0
164,53,63,3,28.11,0.0
165,53,17,2,25.7,0.0
166,53,116,2,89.74,0.05
167,53,6,2,31.16,0.0
168,53,100,2,35.04,0.0
169,54,41,3,226.27,0.0
170,54,44,3,53.72,0.1
171,54,57,1,115.52,0.2
172,54,150,2,155.03,0.0
173,55,142,2,9.67,0.0
174,55,13,2,184.93,0.0
175,55,65,2,32.68,0.0
176,55,21,1,169.06,0.0
177,55,135,2,167.91,0.0
178,56,46,1,51.46,0.0
179,56,74,1,42.69,0.05
180,56,141,1,65.92,0.0
181,56,121,1,157.7,0.0
182,56,109,1,56.81,0.0
183,57,3,1,59.6,0.1
184,57,84,3,25.7,0.1
185,58,95,2,67.16,0.0
186,58,147,2,192.43,0.0
187,59,18,2,71.75,0.0
188,60,30,2,540.64,0.0
189,60,106,1,14.9,0.0
190,60,98,1,26.09,0.1
191,61,76,2,342.92,0.1
192,62,91,2,285.06,0.0
193,63,38,3,274.98,0.05
194,64,7,2,80.91,0.1
195,64,115,2,76.97,0.0
196,64,104,2,51.42,0.0
197,65,132,3,21.74,0.0
198,65,10,1,8.85,0.15
199,65,141,2,65.92,0.0
200,65,145,3,549.54,0.0
201,66,71,1,44.86,0.0
202,66,101,1,27.56,0.0
203,66,57,3,115.52,0.0
204,66,11,1,38.65,0.0
205,67,120,3,55.9,0.0
206,67,43,1,116.4,0.05
207,68,128,3,38.02,0.0
208,68,104,2,51.42,0.0
209,68,14,1,43.46,0.0
210,69,15,2,8.82,0.0
211,69,112,2,153.0,0.2
212,69,104,2,51.42,0.15
213,70,22,3,145.59,0.0
214,70,26,1,29.55,0.15
215,70,3,3,59.6,0.05
216,70,39,1,40.89,0.0
217,71,92,1,117.83,0.0
218,71,147,2,192.43,0.0
219,71,23,1,85.49,0.2
220,72,101,1,27.56,0.0
221,72,126,2,106.68,0.05
222,73,25,2,33.5,0.1
223,73,128,3,38.02,0.0
224,73,58,2,176.42,0.1
225,73,73,2,32.19,0.2
226,73,9,2,42.25,0.0
227,74,115,1,76.97,0.0
228,75,62,3,57.48,0.05
229,75,124,3,93.35,0.0
230,75,112,3,153.0,0.0
231,75,105,3,49.1,0.0
232,75,32,2,12.41,0.05
233,76,48,3,46.04,0.1
234,76,128,2,38.02,0.0
235,76,119,2,82.35,0.05
236,76,102,3,27.83,0.0
237,77,24,1,32.27,0.15
238,77,125,1,90.59,0.0
239,77,86,2,121.67,0.2
240,77,38,1,274.98,0.05
241,78,88,1,48.19,0.0
242,78,96,3,141.9,0.0
243,78,87,1,6.32,0.0
244,79,122,2,107.37,0.15
245,80,102,3,27.83,0.0
246,80,68,1,263.91,0.2
247,80,2,2,29.27,0.0
248,81,140,3,55.71,0.05
249,81,107,2,67.27,0.2
250,81,5,1,35.72,0.0
251,81,129,3,49.25,0.0
252,81,79,1,30.31,0.1
253,82,6,1,31.16,0.05
254,82,26,3,29.55,0.0
255,82,34,1,209.25,0.15
256,82,67,1,215.02,0.05
257,83,17,1,25.7,0.0
258,83,70,2,223.26,0.0
259,84,140,3,55.71,0.0
260,84,65,3,32.68,0.1
261,85,88,3,48.19,0.1
262,85,42,3,126.21,0.0
263,86,27,1,246.61,0.0
264,86,132,3,21.74,0.0
265,86,104,3,51.42,0.05
266,86,55,1,9.44,0.2
267,87,118,1,18.49,0.0
268,87,100,1,35.04,0.0
269,87,83,2,35.72,0.0
270,87,95,3,67.16,0.15
271,87,51,3,173.82,0.0
272,88,22,3,145.59,0.1
273,88,35,3,31.9,0.0
